name,num_cross,PD_code
K6a3,6,"[[4,2,5,1],[2,9,3,10],[8,3,9,4],[12,6,1,5],[6,12,7,11],[10,8,11,7]]"
K8a16,8,"[[6,2,7,1],[2,13,3,14],[10,3,11,4],[4,11,5,12],[12,5,13,6],[14,8,15,7],[8,16,9,15],[16,10,1,9]]"
K8a4,8,"[[4,2,5,1],[2,8,3,7],[8,4,9,3],[12,5,13,6],[6,13,7,14],[16,9,1,10],[10,15,11,16],[14,11,15,12]]"
K8n1,8,"[[4,2,5,1],[2,8,3,7],[8,4,9,3],[5,12,6,13],[11,6,12,7],[9,14,10,15],[15,10,16,11],[13,16,14,1]]"
K9a12,9,"[[4,2,5,1],[2,10,3,9],[10,4,11,3],[12,5,13,6],[6,16,7,15],[14,8,15,7],[8,17,9,18],[18,11,1,12],[16,13,17,14]]"
K9n5,9,"[[4,2,5,1],[2,11,3,12],[10,3,11,4],[5,14,6,15],[13,6,14,7],[7,12,8,13],[17,9,18,8],[9,17,10,16],[15,18,16,1]]"
K10a103,10,"[[6,2,7,1],[2,10,3,9],[10,4,11,3],[4,18,5,17],[18,6,19,5],[14,7,15,8],[8,15,9,16],[16,11,17,12],[12,19,13,20],[20,13,1,14]]"
K11a103,11,"[[4,2,5,1],[2,11,3,12],[10,3,11,4],[14,6,15,5],[6,14,7,13],[12,8,13,7],[8,19,9,20],[18,9,19,10],[22,16,1,15],[16,22,17,21],[20,18,21,17]]"
K11a165,11,"[[4,2,5,1],[2,10,3,9],[10,4,11,3],[18,6,19,5],[6,18,7,17],[16,8,17,7],[8,16,9,15],[20,11,21,12],[12,21,13,22],[22,13,1,14],[14,19,15,20]]"
K11a201,11,"[[4,2,5,1],[2,13,3,14],[12,3,13,4],[16,6,17,5],[6,16,7,15],[14,8,15,7],[8,21,9,22],[20,9,21,10],[10,19,11,20],[18,11,19,12],[22,18,1,17]]"
K11a58,11,"[[4,2,5,1],[2,8,3,7],[8,4,9,3],[16,6,17,5],[6,16,7,15],[20,9,21,10],[10,21,11,22],[22,11,1,12],[12,19,13,20],[18,13,19,14],[14,17,15,18]]"
