name,base_knot,core_len,cusp_shape_est,cusp_arg,volume,num_tets,tri,PD_code,num_cross,run_time,last_success,det,alex,slice,ribbon,ribbon_to,ribbon_by_two_bands,s_2,s_3,Sq1_odd,girth,s_lite_time,s_odd_time,base_slice,bls_odd,Sq1_sum,RBG_DT,RBG_PD,framing
K11n34_0,K11n34,(2.553191187019985+0.6380805791166257j),-0.578864834809048 + 2.31624757606062*I,1.32589773766461,13.220458870568354,15,pLvvLLAQQPQciijmnihljknonoohhvvqavnasnxsksj_abBb,"[(38,29,39,30),(11,29,12,28),(27,11,28,10),(26,39,27,40),(40,10,41,9),(8,42,9,41),(67,31,0,30),(66,25,67,26),(42,65,43,66),(24,44,25,43),(31,44,32,45),(7,65,8,64),(52,63,53,64),(62,51,63,52),(6,54,7,53),(23,55,24,54),(61,13,62,12),(32,55,33,56),(33,23,34,22),(50,14,51,13),(45,56,46,57),(46,22,47,21),(47,34,48,35),(48,6,49,5),(14,50,15,49),(35,5,36,4),(15,61,16,60),(16,38,17,37),(59,36,60,37),(57,21,58,20),(58,4,59,3),(19,2,20,3),(1,18,2,19),(17,0,18,1)]",34.0,8.20517,0.0,1.0,1,-1,,{},,0.0,2.0,"(0,0,0,0)",10.0,29.66026473045349,69.65923929214478,-1,,,DT[vcdemhUSFVDCoKIMeJaRgtNpBql],"[(15,1,16,8),(1,27,2,26),(2,41,3,42),(38,3,39,4),(4,37,5,38),(12,5,13,6),(6,11,7,12),(10,7,11,8),(18,43,9,44),(9,23,10,22),(13,31,14,30),(29,15,30,14),(16,21,17,22),(44,17,19,18),(24,19,25,20),(20,25,21,26),(23,43,24,42),(34,27,35,28),(28,35,29,36),(31,37,32,36),(39,33,40,32),(33,41,34,40)]","[(0,1),(0,1),(0,1)]"
K13n866_0,K13n866,(2.4015002601287256-1.2626798642487382j),1.07771278446861 + 2.04970999025575*I,1.0867318395856,,18,sLvLLvwPPQMQQcfgjokkloqmlpoqprrruplkquiialqgfcogdup_BbBa,"[(53,73,54,72),(73,53,74,52),(71,11,72,10),(22,9,23,10),(8,23,9,24),(7,71,8,70),(54,21,55,22),(24,55,25,56),(69,57,70,56),(57,6,58,7),(68,26,69,25),(58,12,59,11),(26,68,27,67),(12,6,13,5),(4,59,5,60),(13,61,14,60),(43,20,44,21),(42,51,43,52),(27,44,28,45),(66,46,67,45),(65,29,66,28),(29,85,30,84),(46,84,47,83),(82,61,83,62),(64,85,65,86),(47,30,48,31),(31,63,32,62),(48,64,49,63),(86,20,87,19),(18,49,19,50),(87,51,88,50),(81,33,82,32),(14,33,15,34),(3,35,4,34),(15,81,16,80),(88,42,89,41),(89,74,0,75),(2,79,3,80),(40,76,41,75),(78,1,79,2),(76,40,77,39),(17,38,18,39),(37,16,38,17),(36,78,37,77),(35,1,36,0)]",45.0,7.61003,0.0,1.0,1,-1,-1,{},,0.0,2.0,"(0,0,0,0)",12.0,105.14365220069884,431.5429403781891,0,,,DT[tcbiisTAbrNEomgQKhFiLdJpc],"[(37,1,38,4),(22,2,5,1),(2,40,3,39),(3,7,4,6),(5,39,6,38),(7,33,8,32),(35,9,36,8),(12,9,13,10),(10,28,11,27),(26,12,27,11),(13,19,14,18),(29,14,30,15),(15,24,16,25),(25,16,26,17),(17,28,18,29),(34,19,35,20),(20,33,21,34),(40,22,23,21),(30,23,31,24),(31,37,32,36)]","[(-1,1),(0,1),(0,1)]"
K15n25044_0,K15n25044,(2.437353256754064+0.025577184509205365j),-0.0270487890296323 + 2.57758839753845*I,1.56030287631037,,19,tLLzLLvwzMQQQkacehjnpmrqsmnorqsqsrnkxatmpmheiuttbrckcb_BaaB,"[(132,161,133,162),(131,73,132,72),(71,163,72,162),(73,131,74,130),(10,164,11,163),(74,11,75,12),(41,161,42,160),(42,130,43,129),(43,12,44,13),(44,75,45,76),(76,45,77,46),(46,77,47,78),(13,78,14,79),(188,159,189,160),(187,128,188,129),(40,0,41,189),(186,80,187,79),(127,81,128,80),(158,82,159,81),(157,126,158,127),(125,156,126,157),(124,185,125,186),(123,15,124,14),(122,48,123,47),(15,48,16,49),(184,50,185,49),(155,51,156,50),(154,183,155,184),(153,17,154,16),(182,18,183,17),(181,152,182,153),(18,152,19,151),(51,151,52,150),(82,150,83,149),(19,181,20,180),(52,180,53,179),(178,54,179,53),(177,21,178,20),(83,54,84,55),(176,121,177,122),(84,21,85,22),(85,121,86,120),(86,176,87,175),(55,22,56,23),(56,120,57,119),(23,119,24,118),(117,25,118,24),(116,58,117,57),(58,116,59,115),(25,115,26,114),(148,113,149,114),(147,27,148,26),(146,60,147,59),(27,60,28,61),(28,146,29,145),(61,145,62,144),(29,175,30,174),(30,87,31,88),(62,174,63,173),(63,88,64,89),(172,90,173,89),(64,31,65,32),(143,91,144,90),(142,171,143,172),(141,33,142,32),(164,66,165,65),(91,171,92,170),(165,140,166,141),(112,169,113,170),(166,34,167,33),(111,93,112,92),(167,110,168,111),(168,94,169,93),(109,35,110,34),(94,35,95,36),(95,109,96,108),(96,140,97,139),(97,66,98,67),(107,138,108,139),(67,98,68,99),(106,100,107,99),(137,101,138,100),(36,101,37,102),(102,39,103,40),(9,68,10,69),(8,106,9,105),(7,137,8,136),(6,37,7,38),(38,5,39,6),(135,5,136,4),(3,104,4,105),(103,135,104,134),(2,70,3,69),(70,2,71,1),(133,0,134,1)]",95.0,10.721,,1.0,1,-1,-1,,,0.0,2.0,,12.0,2591.8459765911102,,0,,,DT[xcdhlUkRJgNxsVpQMLFWhdBCoAITe],"[(8,42,1,41),(40,2,41,1),(21,2,22,3),(34,3,35,4),(4,35,5,36),(36,5,37,6),(6,19,7,20),(7,32,8,33),(13,9,14,24),(9,47,10,46),(10,27,11,28),(26,11,27,12),(47,13,48,12),(37,14,38,15),(15,30,16,31),(16,44,17,43),(42,18,43,17),(31,18,32,19),(20,33,21,34),(22,26,23,25),(48,24,25,23),(28,45,29,46),(29,39,30,38),(44,39,45,40)]","[(-4,1),(0,1),(0,1)]"
16n180537_0,16n180537,(1.6000576943562286+0.2682436027766085j),-0.640324884050720 + 3.81950118104534*I,1.40469473516687,,23,xLLAvLzLMwLQzMQQcceddgjlknmtsrqtqvtvwvuuwiifkkinfxtbwgwsvagipudnj_BaCB,"[(32,60,33,59),(15,61,16,60),(14,31,15,32),(61,31,62,30),(62,14,63,13),(29,12,30,13),(88,11,89,12),(87,28,88,29),(27,86,28,87),(26,64,27,63),(85,65,86,64),(10,66,11,65),(76,90,77,89),(90,78,91,77),(78,76,79,75),(91,17,92,16),(92,34,93,33),(34,17,35,18),(93,58,0,59),(35,75,36,74),(36,79,37,80),(80,37,81,38),(73,39,74,38),(18,39,19,40),(57,41,58,40),(19,73,20,72),(56,71,57,72),(70,55,71,56),(69,21,70,20),(68,82,69,81),(47,66,48,67),(67,46,68,47),(82,46,83,45),(48,10,49,9),(49,85,50,84),(8,83,9,84),(50,26,51,25),(7,45,8,44),(6,21,7,22),(5,55,6,54),(53,5,54,4),(41,53,42,52),(22,3,23,4),(42,23,43,24),(2,43,3,44),(24,2,25,1),(51,0,52,1)]",47.0,13.866,1.0,1.0,1,-1,-1,{},,0.0,2.0,"(0,0,0,0)",12.0,74.98744750022888,479.204421043396,0,,,DT[rcbdlGCARMoFBkQhiEPlDNJ],"[(4,14,1,13),(12,1,5,2),(2,5,3,6),(14,4,15,3),(6,35,7,36),(30,7,31,8),(8,26,9,25),(24,10,25,9),(29,11,30,10),(36,11,13,12),(15,21,16,20),(21,17,22,16),(17,23,18,22),(18,33,19,34),(34,19,35,20),(23,29,24,28),(26,31,27,32),(32,27,33,28)]","[(1,1),(0,1),(0,1)]"
16n74539_0,16n74539,(1.6000576943562288-0.2682436027766096j),0.640324884050722 + 3.81950118104534*I,1.40469473516687,,23,xLvvAAzLwzPQAzQQccfgfgljkomrqptstuwuvvtwwihackasafcckkmqeahhhjkbg_baab,"[(93,82,0,83),(83,51,84,50),(92,49,93,50),(91,68,92,69),(67,49,68,48),(47,90,48,91),(46,70,47,69),(45,85,46,84),(70,89,71,90),(31,44,32,45),(51,30,52,31),(43,53,44,52),(53,33,54,32),(85,54,86,55),(55,88,56,89),(56,72,57,71),(72,58,73,57),(10,88,11,87),(86,12,87,11),(12,33,13,34),(9,58,10,59),(42,13,43,14),(34,60,35,59),(35,8,36,9),(14,30,15,29),(41,28,42,29),(27,60,28,61),(26,8,27,7),(25,36,26,37),(24,73,25,74),(37,75,38,74),(6,75,7,76),(61,77,62,76),(62,5,63,6),(77,41,78,40),(4,39,5,40),(63,39,64,38),(64,23,65,24),(3,23,4,22),(78,21,79,22),(20,79,21,80),(19,3,20,2),(18,65,19,66),(66,17,67,18),(1,17,2,16),(80,15,81,16),(81,0,82,1)]",47.0,6.84529,,1.0,1,-1,-1,{},,0.0,-2.0,,12.0,9240.584106206894,,0,,,DT[tcbiiEnTOBDlRpqMfKgaCsjHi],"[(4,10,1,9),(1,29,2,28),(27,3,28,2),(8,4,9,3),(22,39,5,40),(30,5,31,6),(6,29,7,30),(10,8,11,7),(11,23,12,40),(23,13,24,12),(13,27,14,26),(14,36,15,35),(36,16,37,15),(31,17,32,16),(17,39,18,38),(33,18,34,19),(19,34,20,35),(20,25,21,26),(24,21,25,22),(37,32,38,33)]","[(-1,1),(0,1),(0,1)]"
17nh_0001844_0,17nh_0001844,(1.403440870549547+1.750421410206649j),-2.18495219105552 + 1.75183597917834*I,0.675821190430495,,17,rvLLLwLvQQQQcefhgknloplkmpoqqoqguuhvmfumgnmtojgfw_abba,"[(24,59,25,60),(58,23,59,24),(60,39,61,40),(25,38,26,39),(61,26,62,27),(102,28,103,27),(101,63,102,62),(103,41,0,40),(63,101,64,100),(28,100,29,99),(98,30,99,29),(37,64,38,65),(10,66,11,65),(36,12,37,11),(12,97,13,98),(35,97,36,96),(13,31,14,30),(14,42,15,41),(81,43,82,42),(80,32,81,31),(43,32,44,33),(44,80,45,79),(78,46,79,45),(33,46,34,47),(34,78,35,77),(76,95,77,96),(47,95,48,94),(93,82,94,83),(75,67,76,66),(92,15,93,16),(48,67,49,68),(16,83,17,84),(68,18,69,17),(74,9,75,10),(69,85,70,84),(22,74,23,73),(85,18,86,19),(86,49,87,50),(87,9,88,8),(21,88,22,89),(50,8,51,7),(20,51,21,52),(19,7,20,6),(89,73,90,72),(5,53,6,52),(53,5,54,4),(3,70,4,71),(54,72,55,71),(55,90,56,91),(2,92,3,91),(1,57,2,56),(57,1,58,0)]",52.0,4.64117,,1.0,1,-1,-1,{},,2.0,2.0,,12.0,34.06063508987427,,0,,,DT[scbfkjFinLRAQObhDpeSKmGc],"[(19,1,20,4),(12,2,13,1),(2,12,3,11),(3,19,4,18),(17,5,18,16),(5,37,6,36),(27,6,28,7),(22,8,23,7),(8,24,9,23),(9,26,10,27),(10,35,11,36),(34,13,35,14),(14,33,15,34),(15,21,16,20),(38,29,17,30),(30,21,31,22),(31,25,32,24),(25,33,26,32),(28,37,29,38)]","[(1,1),(0,1),(0,1)]"
17nh_0002715_0,17nh_0002715,(2.8969766258071683+1.5450531703578751j),-0.900571334757207 + 1.68857237842455*I,1.08083927736762,,23,xLLLvLvzPwQwMQQQccdghknnlrsopptuwtvwuvvwuhshvpeqjjtvnnahqmhumqsgc_aBbB,"[(32,81,33,0),(15,80,16,81),(79,16,80,17),(17,78,18,79),(56,78,57,77),(55,18,56,19),(76,58,77,57),(54,33,55,34),(19,35,20,34),(20,53,21,54),(35,58,36,59),(52,21,53,22),(4,52,5,51),(5,22,6,23),(6,59,7,60),(60,24,61,23),(24,62,25,61),(62,7,63,8),(36,64,37,63),(25,50,26,51),(49,9,50,8),(37,48,38,49),(9,38,10,39),(64,47,65,48),(26,39,27,40),(75,47,76,46),(74,65,75,66),(45,66,46,67),(10,28,11,27),(28,74,29,73),(44,29,45,30),(67,15,68,14),(30,14,31,13),(68,32,69,31),(11,73,12,72),(43,12,44,13),(71,40,72,41),(3,70,4,71),(2,42,3,41),(42,2,43,1),(69,0,70,1)]",41.0,11.8325,0.0,1.0,1,-1,-1,{},,-2.0,-2.0,,10.0,611.40784740448,,0,,,DT[xcdoelHtPXVRDuSEaqFwCGmOibKnJ],"[(23,1,24,8),(1,23,2,22),(2,15,3,16),(3,40,4,41),(39,4,40,5),(30,5,31,6),(6,31,7,32),(14,7,15,8),(38,47,9,48),(20,10,21,9),(10,44,11,43),(26,11,27,12),(12,36,13,35),(32,14,33,13),(41,17,42,16),(17,39,18,48),(18,37,19,38),(46,20,47,19),(42,21,43,22),(33,24,34,25),(25,34,26,35),(27,44,28,45),(45,28,46,29),(36,29,37,30)]","[(0,1),(0,1),(0,1)]"
17nh_0212094_0,17nh_0212094,(1.474617476786682+0.12340231445648543j),-0.354089973774499 + 4.23125989153903*I,1.48730657018847,,32,GLLvvvLPPvMQvPLPMwQQQQcceojklprqrsptyuvCxxACDFCzzBFFEEDEiixbsxpaergsvawsuthpunfwkkkfbggrn_Baab,"[(77,90,78,91),(91,78,92,79),(76,62,77,61),(75,41,76,40),(62,41,63,42),(42,63,43,64),(39,60,40,61),(38,80,39,79),(37,93,38,92),(59,81,60,80),(93,37,94,36),(58,35,59,36),(12,89,13,90),(11,65,12,64),(88,66,89,65),(66,14,67,13),(87,10,88,11),(86,44,87,43),(9,45,10,44),(85,74,86,75),(45,9,46,8),(46,74,47,73),(7,72,8,73),(71,14,72,15),(84,26,85,25),(47,26,48,27),(48,84,49,83),(82,50,83,49),(24,82,25,81),(6,28,7,27),(23,34,24,35),(22,57,23,58),(21,95,22,94),(33,50,34,51),(32,6,33,5),(31,28,32,29),(95,21,0,20),(15,31,16,30),(29,17,30,16),(17,5,18,4),(56,19,57,20),(18,51,19,52),(3,71,4,70),(52,69,53,70),(68,55,69,56),(2,54,3,53),(54,2,55,1),(67,1,68,0)]",48.0,8.0611,,1.0,1,-1,-1,{},,0.0,2.0,,12.0,180.15681147575376,,0,,,DT[sccdlrcesbjkOGlmifpqHnda],"[(35,1,36,6),(1,37,2,36),(5,3,6,2),(3,9,4,8),(9,5,10,4),(37,7,38,14),(7,35,8,34),(19,11,20,10),(11,24,12,25),(21,12,22,13),(16,13,17,14),(38,29,15,30),(30,15,31,16),(17,22,18,23),(23,18,24,19),(25,21,26,20),(31,27,32,26),(27,33,28,32),(33,29,34,28)]","[(-1,1),(0,1),(0,1)]"
17nh_0212095_0,17nh_0212095,(1.474617476786681+0.12340231445648586j),-0.354089973774501 + 4.23125989153904*I,1.48730657018847,,29,DLLvvwvPzLAMwPQMPMQQccehkkmsrpnutxsvsywwxBzyACyACBCiifnsphapfsvdwlvtmaphdgcvfjscw_bBba,"[(78,34,79,33),(65,33,66,32),(66,79,67,80),(77,64,78,65),(31,81,32,80),(76,18,77,17),(16,82,17,81),(15,30,16,31),(29,14,30,15),(28,68,29,67),(95,35,0,34),(94,63,95,64),(35,63,36,62),(93,19,94,18),(36,19,37,20),(37,93,38,92),(38,76,39,75),(91,74,92,75),(73,90,74,91),(72,40,73,39),(82,71,83,72),(89,41,90,40),(20,41,21,42),(13,71,14,70),(61,43,62,42),(68,47,69,48),(48,69,49,70),(12,50,13,49),(83,50,84,51),(84,12,85,11),(51,88,52,89),(52,22,53,21),(53,60,54,61),(59,23,60,22),(54,44,55,43),(44,56,45,55),(10,88,11,87),(9,59,10,58),(8,23,9,24),(24,7,25,8),(57,7,58,6),(25,57,26,56),(45,26,46,27),(85,5,86,4),(3,87,4,86),(5,2,6,3),(1,46,2,47),(27,1,28,0)]",48.0,40.4035,4.0,1.0,1,-1,-1,{},,0.0,2.0,,12.0,41.35121440887451,,0,,,DT[qccdjenaQcmPOGldfjbkHI],"[(9,1,10,6),(1,5,2,4),(27,2,28,3),(3,26,4,27),(5,9,6,8),(14,34,7,33),(7,21,8,20),(25,10,26,11),(11,22,12,23),(12,31,13,32),(16,14,17,13),(34,30,15,29),(30,16,31,15),(32,17,33,18),(23,18,24,19),(19,24,20,25),(21,29,22,28)]","[(-1,1),(0,1),(0,1)]"
18nh_00010270_0,18nh_00010270,(1.9857481107552137-1.2954118269682802j),1.44794457844093 + 2.21956689854101*I,0.992767662796401,,27,BLLvwLwLzvzQPQAMPQQcdfkiopmvnopusruwrwvxzyAzAzAhsapshhspskoddfeegookighulaa_baab,"[(86,73,87,74),(74,87,75,0),(75,56,76,57),(55,72,56,73),(76,30,77,29),(30,72,31,71),(70,32,71,31),(69,54,70,55),(68,85,69,86),(84,67,85,68),(53,66,54,67),(32,21,33,22),(20,65,21,66),(52,20,53,19),(83,19,84,18),(22,78,23,77),(33,65,34,64),(63,78,64,79),(51,8,52,9),(34,8,35,7),(6,36,7,35),(9,50,10,51),(79,36,80,37),(5,11,6,10),(80,11,81,12),(4,81,5,82),(82,50,83,49),(62,38,63,37),(23,38,24,39),(17,49,18,48),(61,13,62,12),(24,13,25,14),(16,4,17,3),(14,25,15,26),(15,61,16,60),(39,26,40,27),(40,60,41,59),(41,3,42,2),(1,43,2,42),(58,44,59,43),(27,44,28,45),(45,28,46,29),(46,58,47,57),(47,1,48,0)]",44.0,6.9488,0.0,1.0,1,-1,-1,{},,0.0,0.0,"(0,0,-2,-2)",12.0,147.52689838409424,750.7642629146576,0,,,DT[zcdkkgNKtZYuaQpCsrVDjXmwbOhlIFE],"[(13,1,14,8),(1,15,2,14),(2,27,3,28),(3,38,4,39),(4,22,5,21),(20,6,21,5),(39,6,40,7),(28,7,29,8),(30,52,9,51),(50,10,51,9),(10,50,11,49),(48,12,49,11),(41,12,42,13),(15,42,16,43),(16,33,17,34),(46,17,47,18),(31,18,32,19),(19,52,20,31),(37,22,38,23),(23,44,24,45),(35,25,36,24),(25,35,26,34),(26,44,27,43),(40,30,41,29),(32,47,33,48),(45,36,46,37)]","[(0,1),(0,1),(0,1)]"
